id,name_ar,name_en,logo,icone
1,منتجات سودانية,,logo_businessScope/منتجات_سودانية.jpg,
2,حقل طبي,,,
3,مطاعم,,logo_businessScope/مطاعم.jpg,
4,مقاهي وكافيهات,,logo_businessScope/مقاهي_وكافيهات.jpg,
5,ملابس وأزياء رجالية,,logo_businessScope/1000275990.jpg,
6,صوالين وكوافير,,logo_businessScope/صوالين_وكوافير.jpg,
7,مخابز,,logo_businessScope/1000277214.jpg,
8,مؤسسات تعليمية,,logo_businessScope/مؤسسات_تعليمية.jpg,
9,فعاليات,,logo_businessScope/فعاليات.jpg,
10,عناية وتجميل,,logo_businessScope/عناية_وتجميل.jpg,
11,إستيراد وتصدير,,logo_businessScope/إستيراد_وتصدير.jpg,
12,بقالات,,logo_businessScope/بقالات.jpg,
13,شحن,,,
14,إدارة أعمال,,,
15,أجهزة إلكترونية,,logo_businessScope/1000275056.jpg,
16,حلويات ومخبوزات,,logo_businessScope/1000275581.jpg,
17,جزارات و منتجات لحوم,,logo_businessScope/1000277965.jpg,
18,ملابس وأزياء نسائية,,logo_businessScope/1000275988.jpg,
19,عطور وبخور,,logo_businessScope/1000277172_TmbUnBb.jpg,
