id,name_ar,name_en,color
1,عام,,#FFFFFF
2,أبيض,,#FFFFFF
3,أسود,,#FFFFFF
4,مينت,,#FFFFFF
5,أزرق,,#FFFFFF
6,كشميري,,#FFFFFF
7,بيجي,,#FFFFFF
8,اف وايت,,#FFFFFF
9,كوبي,,#FFFFFF
10,فوشي,,#FFFFFF
11,حلاوي,,#FFFFFF
12,رصاصي,,#FFFFFF
13,جنزاري,,#FFFFFF
14,زيتي,,#FFFFFF
15,بطيخي/بصلي غامق,,#FFFFFF
16,بترولي,,#FFFFFF
17,لافندر غامق,,#FFFFFF
18,هافان,,#FFFFFF
19,عنابي,,#FFFFFF
20,طوبي,,#FFFFFF
21,كحلي,,#FFFFFF
22,بمبي,,#FFFFFF
23,كبدي غامق,,#FFFFFF
24,كاكاوي,,#FFFFFF
25,رمادي,,#FFFFFF
26,شاي لبن,,#FFFFFF
27,بيبي بلو,,#FFFFFF
28,بني,,#FFFFFF
29,بصلي,,#FFFFFF
30,نبيتي/كبدي,,#FFFFFF
31,ظهري,,#FFFFFF
32,لافندر,,#FFFFFF
33,ليموني,,#FFFFFF
34,كافيه,,#FFFFFF
35,زيتوني,,#FFFFFF
36,بترولي مخضر,,#FFFFFF
37,جملي,,#FFFFFF
38,بنفسجي,,#FFFFFF
39,زهري,,#FFFFFF
40,بيجي1,,#FFFFFF
41,بيجي2,,#FFFFFF
42,مسطردة,,#FFFFFF
43,بنفسج فاتح,,#FFFFFF
44,بتنجاني,,#FFFFFF
45,none,,#FFFFFF
46,توت,,#FFFFFF
47,رمان,,#FFFFFF
48,صبايا,,#FFFFFF
49,بطيخي,,#FFFFFF
50,كحلي*بمبي,,#FFFFFF
51,كحلي*تيفني,,#FFFFFF
52,تيفني*كحلي,,#FFFFFF
53,بيج*كحلي,,#FFFFFF
54,أسود*تيفني,,#FFFFFF
55,بيج*عنابي,,#FFFFFF
56,بمبي*كبدي,,#FFFFFF
57,كافي*أسود,,#FFFFFF
58,نسكافي*أسود,,#FFFFFF
59,بمبي*أبيض,,#FFFFFF
60,نسكافي*أبيض,,#FFFFFF
61,زيتي*أبيض,,#FFFFFF
62,كشمير*أبيض,,#FFFFFF
63,كافي*أبيض,,#FFFFFF
64,برتقالي,,#FFFFFF
65,لبني,,#FFFFFF
66,كبدي*بمبي,,#FFFFFF
67,بيجي فاتح,,#FFFFFF
68,أخضر ملكي,,#FFFFFF
69,عنابي فاتح,,#FFFFFF
