id,stateID,name_ar,name_en,capitalCity,logo,population
1,1,الخرطوم,,الخرطوم,,
2,1,أم بدة,,أم بدة,,
3,1,أم درمان,,أم درمان,,
4,1,كرري,,كرري,,
5,1,الخرطوم بحري,,الخرطوم بحري,,
6,1,شرق النيل,,شرق النيل,,
7,1,جبل أولياء,,جبل أولياء,,
8,2,الكاملين,,الكاملين,,
9,2,شرق الجزيرة,,رفاعة,,
10,2,الحصاحيصا,,الحصاحيصا,,
11,2,المناقل,,المناقل,,
12,2,مدني الكبرى,,واد مدني,,
13,2,جنوب الجزيرة,,بركات,,
14,2,أم القرى,,أم القرى,,
15,3,سنار,,سنار,,
16,3,سنجة,,سنجة,,
17,3,الدندر,,الدندر,,
18,4,كلبُس,,كلبُس,,
19,4,سودري,,سودري,,
20,4,جبرة الشيخ,,جبرة الشيخ,,
21,4,بارا,,بارا,,
22,4,شيكان,,شيكان,,
23,4,أم روابة,,أم روابة,,
24,4,أم دم,,أم دم,,
25,5,وادي حلفا,,وادي حلفا,,
26,5,دنقلا,,دنقلا,,
27,5,مروي,,مروي,,
28,5,الدبة,,الدبة,,
29,6,أبو حمد,,أبو حمد,,
30,6,بربر,,بربر,,
31,6,الدامر,,الدامر,,
32,6,عطبرة,,شندي,,
33,6,محلية المتمة,,المتمة,,
34,7,الدمازين,,الدمازين,,
35,7,الروصيرص,,الروصيرص,,
36,7,قيسان,,قيسان,,
37,7,باو,,باو,,
38,7,الكرمك,,الكرمك,,
39,8,الدويم,,الدويم,,
40,8,القطينة,,القطينة,,
41,8,كوستي,,كوستي,,
42,8,الجبلين,,الجبلين,,
43,8,أم رمته,,ودنمر,,
44,9,الدلنج,,الدلنج,,
45,9,رشاد,,رشاد,,
46,9,أبو جبيهة,,أبو جبيهة,,
47,9,تلودي,,تلودي,,
48,9,كادقلي,,كادقلي,,
49,9,السلام,,,,
50,9,القوز,,,,
51,9,كليك,,,,
52,9,هبيلا,,,,
53,9,دلامي,,,,
54,9,برام,,,,
55,9,هيبان,,,,
56,9,أم دورين,,,,
57,9,الريف الشرقي,,,,
58,9,العباسية,,,,
59,10,النهود,,النهود,,
60,10,بابنوسة,,بابنوسة,,
61,10,الفولة,,الفولة,,
62,10,هبيلا,,هبيلا,,
63,10,أبيي,,أبيي,,
64,11,الضعين,,الضعين,,
65,11,بحر العرب,,بحر العرب,,
66,11,الفردوس,,الفردوس,,
67,11,أبو كارنكا,,أبو كارنكا,,
68,11,شعيرية,,شعيرية,,
69,11,عديلة,,عديلة,,
70,11,أبو جابرة,,أبو جابرة,,
71,11,ياسين,,ياسين,,
72,11,عسلاية,,عسلاية,,
73,12,كلبُس,,كلبُس,,
74,12,الجنينة,,الجنينة,,
75,12,هبيلة,,هبيلة,,
76,12,بيضة,,,,
77,12,سربا,,,,
78,12,كرينك,,,,
79,12,جبل مون,,,,
80,12,قوز برنقا,,,,
81,13,حلايب,,حلايب,,
82,13,بورتسودان,,بورتسودان,,
83,13,سنكات,,سنكات,,
84,13,طوكر,,طوكر,,
85,13,سواكن,,سواكن,,
86,13,جبيت,,جبيت,,
87,13,هيا,,هيا,,
88,13,درديب,,درديب,,
89,13,القوليب وأوليب,,القوليب وأوليب,,
90,14,الفاو,,الفاو,,
91,14,الفشقة,,الشواك,,
92,14,بلدية القضارف,,القضارف,,
93,14,الرهد,,الحواتة,,
94,14,القلابات الشرقية,,دوكة,,
95,14,القلابات الغربية,,كساب,,
96,14,قلع النحل,,قلع النحل,,
97,14,البطانة,,الصباغ,,
98,14,القريشة,,القريشة,,
99,14,المحلية,,حاضرة المحلية,,
100,14,نهر عطبرة,,حلفا الجديدة,,
101,14,كسلا,,كسلا,,
102,14,القاش,,أروما,,
103,14,همشكوريب,,همشكوريب,,
104,14,ريفي كسلا,,شمبوب,,
105,15,نهر عطبرة,,حلفا الجديدة,,
106,15,كسلا,,كسلا,,
107,15,القاش,,أروما,,
108,15,همشكوريب,,همشكوريب,,
109,15,ريفي كسلا,,شمبوب,,
110,16,زالنجي,,زالنجي,,
111,16,أزوم,,أزوم,,
112,16,وادي صالح,,وادي صالح,,
113,16,مكجر,,مكجر,,
114,16,أم دخن,,أم دخن,,
115,16,جبل مرة,,نيرتيتي,,
116,16,روكورو,,روكورو,,
117,16,بندسي,,بندسي,,
118,17,كلبُس,,كلبُس,,
119,17,مليط,,مليط,,
120,17,كتم,,كتم,,
121,17,كبكابية,,كبكابية,,
122,17,الفاشر,,الفاشر,,
123,17,أم كدادة,,أم كدادة,,
124,18,كاس,,كاس,,
125,18,عد الفرسان,,عد الفرسان,,
126,18,نيالا,,نيالا,,
127,18,تلس,,تلس,,
128,18,رهيد البردي,,رهيد البردي,,
129,18,كنيلا,,كنيلا,,
130,18,الردوم,,الردوم,,
131,18,كتم,,كتم,,
132,18,أم دافوق,,أم دافوق,,
133,18,شاطايا,,شاطايا,,
134,18,دمسو,,دمسو,,
135,18,السلام,,السلام,,
136,18,قريضة,,قريضة,,
137,18,شرق الجبل,,شرق الجبل,,
138,18,بليل,,بليل,,
139,18,الوحدة,,الوحدة,,
140,18,مرشنج,,مرشنج,,
141,18,السنطة,,السنطة,,
142,18,نتيقا,,نتيقا,,
143,175,القاهرة,,,,
144,176,الجيزة,,,logo_cities/1000271097.jpg,
145,176,6 أكتوبر,,,logo_cities/1000271125.jpg,
146,176,الشيخ زايد,,,,
147,176,الحوامدية,,,,
148,176,البدرشين,,,,
149,176,أطفيح,,,,
150,176,العياط,,,,
151,176,الباويطي,,,,
152,176,منشأة القناطر,,,,
153,176,أوسيم,,,,
154,176,كرداسة,,,,
155,176,أبو النمرس,,,,
156,176,فيصل,,,logo_cities/1000271098.jpg,
157,176,الهرم,,,logo_cities/1000271119.jpg,
158,176,حدائق الأهرام,,,logo_cities/1000271127.jpg,
159,176,المهندسين,,,logo_cities/1000271102.jpg,
160,176,الدقي,,,logo_cities/1000271101.jpg,
161,176,بولاق الدكرور,,,logo_cities/1000271108.jpg,
162,176,العمرانية الشرقية,,,logo_cities/1000271106.jpg,
163,176,العمرانية الغربية,,,logo_cities/1000271107.jpg,
164,176,خاتم المرسلين,,,,
165,177,بنها,,,,
166,177,قليوب,,,,
167,177,شبرا الخيمة,,,,
168,177,القناطر الخيرية,,,,
169,177,الخانكة,,,,
170,177,كفر شكر,,,,
171,177,طوخ,,,,
172,177,قها,,,,
173,177,العبور,,,,
174,177,الخصوص,,,,
175,177,شبين القناطر,,,,
176,178,الإسكندرية,,,logo_cities/1000271121.jpg,
177,178,برج العرب,,,,
178,178,برج العرب الجديدة,,,,
179,179,دمنهور,,,,244336.0
180,179,كفر الدوار,,,,121054.0
181,179,رشيد,,,,72491.0
182,179,إدكو,,,,105875.0
183,179,أبو المطامير,,,,44511.0
184,179,أبو حمص,,,,36801.0
185,179,الدلنجات,,,,44504.0
186,179,المحمودية,,,,27706.0
187,179,الرحمانية,,,,32093.0
188,179,إيتاي البارود,,,,44856.0
189,179,حوش عيسى,,,,72839.0
190,179,شبراخيت,,,,30829.0
191,179,كوم حمادة,,,,41227.0
192,179,بدر,,,,16895.0
193,179,وادي النطرون,,,,20082.0
194,179,النوبارية الجديدة,,,,4280.0
195,180,مرسى مطروح,,,,68339.0
196,180,الحمام,,,,17745.0
197,180,العلمين,,,,2413.0
198,180,الضبعة,,,,26451.0
199,180,النجيلة,,,,8488.0
200,180,سيدي براني,,,,7519.0
201,180,السلوم,,,,8445.0
202,180,سيوة,,,,13202.0
203,181,المنصورة,,,,428292.0
204,181,طلخا,,,,78785.0
205,181,ميت غمر,,,,121039.0
206,181,دكرنس,,,,69473.0
207,181,أجا,,,,18548.0
208,181,منية النصر,,,,58571.0
209,181,السنبلاوين,,,,87660.0
210,181,الكردي,,,,30473.0
211,181,بني عبيد,,,,31659.0
212,181,المنزلة,,,,72555.0
213,181,تمي الأمديد,,,,13915.0
214,181,الجمالية,,,,71650.0
215,181,شربين,,,,55631.0
216,181,المطرية,,,,105728.0
217,181,بلقاس,,,,103550.0
218,181,ميت سلسيل,,,,35626.0
219,181,جمصة,,,,755.0
220,181,محلة دمنة,,,,21518.0
221,181,نبروه,,,,37187.0
222,182,دمياط,,,,105092.0
223,182,دمياط الجديدة,,,,8008.0
224,182,رأس البر,,,,8635.0
225,182,فارسكور,,,,36850.0
226,182,كفر سعد,,,,21431.0
227,182,الزرقا,,,,17604.0
228,182,السرو,,,,23193.0
229,182,الروضة,,,,22755.0
230,182,كفر البطيخ,,,,29163.0
231,182,عزبة البرج,,,,36934.0
232,182,ميت أبو غالب,,,,16193.0
233,183,طنطا,,,,429503.0
